obj_id,time,feat_name,feat_start,feat_end,vel,vel_err,vel_samperr,pew,pew_err,pew_samperr,area,area_err,area_samperr,spec_flag,feat_flag,notes
2004ef,2453255.66,pW2,3929.0819,4068.8654,,0.0,,12.432846357989245,0.0,3.5385390340394824,7.091278432784792e-15,0.0,2.246094028758121e-15,0,0,
2004ef,2453255.66,pW3,4068.8654,4464.1151,13176.598887513046,0.0,211.37809879768932,86.79389557005814,0.0,8.082349505114628,5.37176278580749e-14,0.0,6.3004151484095105e-15,0,0,
2004ef,2453255.66,pW4,4526.7766,5066.6299,21673.924414743324,0.0,124.766254424729,169.34857094827856,0.0,2.4646271869647984,8.934273964603999e-14,0.0,1.7722924710191237e-15,0,0,
2004ef,2453255.66,pW5,5155.8021,5601.663000000001,9043.07976601288,0.0,112.68377550499252,81.63004461468654,0.0,2.5417751971757143,2.9707496189333474e-14,0.0,1.1353161583905985e-15,0,0,
2004ef,2453255.66,pW6,5601.663000000001,5840.2589,11669.096574593308,0.0,136.68163919009132,26.028838813474398,0.0,2.733116238223648,7.720622392456547e-15,0.0,9.188660161508658e-16,0,0,
2004ef,2453255.66,pW7,5840.2589,6394.5725,15182.320152379056,0.0,51.09999484854345,159.8946847833703,0.0,5.858569029454075,4.8262590578339705e-14,0.0,2.520375674537199e-15,0,0,
2004ef,2453256.68,pW3,4073.0028,4503.2409,12946.310108960966,0.0,101.68317033265569,100.76580228163894,0.0,3.023878898420436,7.157402463578122e-14,0.0,2.8627801285183712e-15,0,0,
2004ef,2453256.68,pW4,4503.2409,5069.3437,21704.15140526854,0.0,139.47106080726164,177.57548258920139,0.0,3.952824514432893,9.520093096044314e-14,0.0,2.916850971656143e-15,0,0,
2004ef,2453256.68,pW5,5162.9393,5603.7447,9242.69961628303,0.0,179.18712543514042,75.47955618384968,0.0,3.109459359884975,2.916756889280404e-14,0.0,1.4326400209298133e-15,0,0,
2004ef,2453256.68,pW6,5603.7447,5849.8107,11593.720865707437,0.0,55.81885691278427,22.300215014549746,0.0,1.3745183073775291,7.398361015823165e-15,0.0,5.045102746831987e-16,0,0,
2004ef,2453256.68,pW7,5849.8107,6363.0772,14265.643698832326,0.0,33.485311657038395,161.01657562378162,0.0,3.5742353584110718,4.6582536915752684e-14,0.0,1.2852787807247842e-15,0,0,
2004ef,2453257.77,pW2,3918.6089,4060.9859,10664.784197595582,0.0,85.29592171114219,13.725752317561614,0.0,1.2889034269070063,2.0656789646248265e-14,0.0,2.157507183436155e-15,0,0,
2004ef,2453257.77,pW3,4065.0538,4488.1168,12992.116333072689,0.0,133.88643040595022,109.32482475354479,0.0,4.026879068249842,1.2474361300571853e-13,0.0,6.142435588686756e-15,0,0,
2004ef,2453257.77,pW4,4500.3206,5147.1189,21088.084455833778,0.0,106.98243994309601,187.4437208367768,0.0,4.359743557189625,1.3541506834245774e-13,0.0,4.2385209640784755e-15,0,0,
2004ef,2453257.77,pW5,5155.2547,5647.4723,9249.858226171798,0.0,171.61915139910386,80.92317221450222,0.0,3.0182744634840577,4.85825470437912e-14,0.0,2.1490441716641367e-15,0,0,
2004ef,2453257.77,pW6,5647.4723,5842.7322,11701.562122403586,0.0,219.06417065510053,21.2440120862441,0.0,2.2524279925521773,1.264405118464951e-14,0.0,1.4852540908456359e-15,0,0,
2004ef,2453257.77,pW7,5842.7322,6229.184,14045.47035788864,0.0,160.16340615411443,114.54322449212036,0.0,6.71078634260012,5.923101639209364e-14,0.0,4.6075687933089144e-15,0,0,
2004ef,2453258.68,pW2,3911.4698,4065.4258,10251.13720603886,0.0,54.86327224686447,21.241469286969366,0.0,0.8134148587244161,1.412581746304532e-14,0.0,6.3281124406499245e-16,0,0,
2004ef,2453258.68,pW3,4065.4258,4494.0875,12414.353371046229,0.0,43.026120701715186,102.97646361076677,0.0,1.3243371202198937,5.919327631216978e-14,0.0,1.027269745279707e-15,0,0,
2004ef,2453258.68,pW4,4507.6718,5168.7768,20342.63712782151,0.0,88.99408161619014,176.66758544716407,0.0,2.5914674659875137,7.566055297641577e-14,0.0,1.5109765885370347e-15,0,0,
2004ef,2453258.68,pW5,5168.7768,5641.2103,9254.962477765546,0.0,84.33511181942505,93.58617950031088,0.0,2.0300233691932656,3.018088226155786e-14,0.0,8.567396609232973e-16,0,0,
2004ef,2453258.68,pW6,5642.7197,5857.0505,10967.600997020927,0.0,183.98023067277748,26.57458425213067,0.0,2.365684465438572,7.453931013651463e-15,0.0,7.392804262285916e-16,0,0,
2004ef,2453258.68,pW7,5857.0505,6373.2558,13123.23789358228,0.0,55.218869462445966,154.99764232035812,0.0,4.902430671236579,3.7298389244968766e-14,0.0,1.7228107232192983e-15,0,0,
2004ef,2453262.61,pW2,3921.784,4092.8837,9797.332447809333,0.0,24.885474836026354,21.982556992443083,0.0,0.6463541361666093,1.8128497490288062e-14,0.0,6.188766266615968e-16,0,0,
